"","logFC","logCPM","LR","PValue","FDR"
"TTC9C",0.0501331203384872,3.66696578163143,0.151216645030534,0.697375389614881,0.796209127363791
"KRT8P33",-0.128110994880266,-0.995775000490211,0.151073440477271,0.697511643603127,0.796314887678241
"RP11.168A11.4",0.280358406725016,-2.71222495678837,0.150851031494684,0.697723405212524,0.796506832728074
"RP11.27K13.3",0.106603934373713,-0.426863816294739,0.150441129461963,0.6981141551796,0.796882795069487
"LINC00674",-0.154286823719054,-1.46148446361297,0.150413992198483,0.698140046099496,0.796882795069487
"RAB44",0.39796216064849,-3.24121040666056,0.150297822863327,0.698250910460971,0.796959507969553
"RNF165",-0.0990256726082828,-0.143253901551521,0.15010194650458,0.698437953617627,0.79712315369114
"CDK20",0.106268230818455,-0.372129022858786,0.149992237857243,0.698542776194165,0.797192946950767
"RP11.10C24.3",-0.321432890376313,-2.94670081413688,0.149695154275102,0.698826850133074,0.797467284439537
"FAM45B",-0.176127148371408,-1.77885574305321,0.149637284154688,0.698882223757861,0.797480622246515
"POMT2",0.0526722340265094,3.36688881656821,0.149544133720552,0.698971381576639,0.797522523212814
"ZNF730",0.242811248691078,-2.45625006208499,0.149507639807697,0.69900631998932,0.797522523212814
"WDR44",-0.0509729731921924,3.58321518822111,0.149310927921078,0.699194731785425,0.79768763381932
"POM121",0.0468470117012581,6.16280072423913,0.14919922636075,0.699301783697596,0.79775990884887
"AC132872.2",0.177388724899454,-1.79697334339418,0.148968281737944,0.699523261227246,0.797890396617936
"MIA3",-0.0452824585881818,4.95028347010861,0.14895995030433,0.699531254816442,0.797890396617936
"UROD",0.0422222048906175,6.49760267286734,0.148943237129961,0.699547291036432,0.797890396617936
"MIR4426",0.123864943033207,-0.91907643728838,0.148838863178899,0.699647460793347,0.797928287503671
"CHAF1A",0.04255987210515,6.21558056702591,0.148817537987355,0.699667931967749,0.797928287503671
"RP1.224A6.9",0.262561999692595,-2.6090541290965,0.14858562635738,0.699890665034951,0.798132439418605
"HIST1H4D",0.310422908844833,-2.04395809713076,0.148412721808221,0.700056856341043,0.798272091480151
"GABRR2",0.296939109456604,-2.8246822285901,0.148304325445753,0.700161100777731,0.798341092735633
"EIF5AL1",-0.0558950282547095,3.39707369899063,0.148149151056568,0.700310407658855,0.79846146348213
"XXbac.BPG246D15.8",0.0468312397428993,4.39379331428073,0.148094669528954,0.700362850405305,0.798471386094732
"RPL24P2",0.183150439197619,-1.87750017021473,0.147962794927134,0.700489835924346,0.798503022770594
"INSR",0.132829334944174,-1.11112658952013,0.147960605119609,0.700491945095769,0.798503022770594
"COL7A1",0.133822653353907,-1.10328001422011,0.147929585194271,0.700521824687541,0.798503022770594
"MMS19",0.0436355656276417,6.63782711928259,0.147626224187348,0.700814223476609,0.798786441656188
"CCDC62",0.201977615686874,-2.09685219366319,0.147320808438799,0.701108951256447,0.799054177597152
"SAPCD2",0.0472936999625612,4.83967906034348,0.147292108512023,0.701136664845312,0.799054177597152
"PMS2P1",0.0537358750006414,2.99240854865898,0.147228031267753,0.701198551110745,0.799074820558503
"NBEAL1",-0.0594497850775019,2.78981896234146,0.146827309759441,0.701585921695703,0.799466354591452
"DEGS2",0.27993106929152,-2.73410230145217,0.146713826807871,0.701695733843455,0.799541578010878
"NOP10",0.042374787917761,6.8648177774441,0.146554689411737,0.701849805724017,0.799617300814674
"C6orf57",-0.0545252641795759,2.89767718509741,0.14654476606393,0.701859416377133,0.799617300814674
"AC091729.9",0.0814475991874405,0.5647521183664,0.146491707342003,0.701910809496647,0.799617300814674
"RP1.199J3.5",0.345480612453456,-3.06836124517552,0.146464258905471,0.701937400468647,0.799617300814674
"CTC.338M12.5",0.200158720438751,-2.08414261693974,0.146413090758198,0.701986977795954,0.799623878676222
"RP11.398K22.12",0.0715094873501876,1.1153893351934,0.146170663662789,0.702222002914921,0.799841683609651
"RP3.514P16.1",-0.228270574825132,-2.36203315352228,0.14592286246495,0.70246246903205,0.800021093905224
"TNPO2",0.0427383076573564,7.00796546800299,0.145918024684732,0.702467165938474,0.800021093905224
"AP003068.6",0.393239602459958,-3.24549793846742,0.145794119512186,0.702587493471523,0.800108215428736
"SRI",-0.0422583559137629,6.04595886576695,0.145541744465092,0.702832762751935,0.800337601150058
"PGF",-0.179143647844276,-1.85127866948163,0.145126796941046,0.703236557263604,0.800740502993674
"CTD.2357A8.3",0.18783419756995,-1.95642895792459,0.145039866129355,0.703321235265365,0.800740502993674
"ADAP1",-0.0521931071253182,4.42729347147698,0.14503196368775,0.703328934356013,0.800740502993674
"LINC00475",-0.236487277115313,-2.43753880481777,0.144997990654558,0.703362035908165,0.800740502993674
"HMCN1",0.319537203124197,-2.96047999055362,0.144867018264976,0.703489690146113,0.800835887603972
"IFT88",0.0697721851643791,1.43980465364746,0.144470721616055,0.703876349559453,0.801226087248725
"TEN1",0.278750867256198,-2.74118341613675,0.144296763984888,0.704046268539864,0.801365936639578
"RP11.981G7.6",-0.299251704102854,-2.8626480942813,0.144255078154736,0.704087003985877,0.801365936639578
"FAM222A.AS1",0.320612787037573,-2.96928537048592,0.144181353184832,0.704159064611293,0.801397987810421
